FarmerGoals,Target Cash Crops,Cover Crop,Nitrogen Scavenger,Nitrogen Source,Quick Growth,Soil Builder,Weed Fighter,Planting Months,TerminationMonths,SeedCostPerAcre,TerminationCostPerAcre,Notes,Cashcrop compatibility,Erosion fighter,Good grazing,Grain harvest,Lasting residue,Mechanical forage,Nitrogen source,Quick growth,Soil builder,Weed fighter
Erosion fighter|Mechanical forage|Good grazing|Cashcrop compatibility|Lasting residue,"Corn, Soybeans",Cereal Rye,Yes,No,Yes,Yes,Yes,Aug-Nov,Mar-Apr,$15-$25,$10-$20,Allelopathic; Plant Early For Biomass.,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Erosion fighter|Mechanical forage|Good grazing|Cashcrop compatibility|Lasting residue,"Corn, Vegetables",Crimson Clover,No,Yes,No,Yes,Yes,Aug-Sept,Apr-May,$27-$37,$10-$20,Inoculate Seed For Best N-Fixation.,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Erosion fighter|Mechanical forage|Good grazing|Cashcrop compatibility|Lasting residue,"Soybeans, Corn",Oilseed Radish,Yes,No,Yes,Yes,Yes,Aug-Sept,Dec (Winter-kill),$15-$25,$0 ,Breaks Compaction; Dies In Frost.,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Erosion fighter|Mechanical forage|Good grazing|Cashcrop compatibility|Lasting residue,"Orchards, Row Crops",Annual Ryegrass,Yes,No,Yes,Yes,Moderate,Aug-Oct,Apr-May,$10-$20,$10-$20,Avoid Poorly Drained Soils.,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Erosion fighter|Mechanical forage|Good grazing|Cashcrop compatibility|Lasting residue,"Vegetables, Small Grains",Buckwheat,No,No,Yes,Yes,Yes,May-July,Jul-Aug (Mowing/Frost),$10-$20,$2-$12,Pollinator-Friendly; Frost-Sensitive.,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Erosion fighter|Mechanical forage|Good grazing|Cashcrop compatibility|Lasting residue,"Corn, Tobacco",Hairy Vetch,No,Yes,No,Yes,Yes,Aug-Sept,Apr-May,$35-$45,$10-$20,High N Payoff; Hard Seed Persistence.,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Erosion fighter|Mechanical forage|Good grazing|Cashcrop compatibility|Lasting residue,"Corn, Soybeans",Oats,Yes,No,Yes,Yes,Moderate,Aug-Oct,Dec (Winter-kill),$7-$17,$0 ,Quick Biomass; Winter-Kills.,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Erosion fighter|Mechanical forage|Good grazing|Cashcrop compatibility|Lasting residue,"Corn, Soybeans",Sorghum-Sudangrass,No,No,Yes,Yes,Yes,Jun-Jul,Aug-Sept (Mowing),$20-$30,$7-$17,High Biomass; Avoid Grazing (Prussic Acid).,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Erosion fighter|Mechanical forage|Good grazing|Cashcrop compatibility|Lasting residue,"Wheat, Corn",Winter Wheat,Yes,No,Yes,Yes,Moderate,Sept-Nov,May-Jun (Harvest),$10-$20,$12-$22,Dual-Use (Grain/Cover).,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Erosion fighter|Mechanical forage|Good grazing|Cashcrop compatibility|Lasting residue,"Corn, Soybeans",Sunn Hemp,No,Yes,Yes,Yes,Yes,May-Jul,Aug-Sept (Frost),$27-$37,$0 ,Tropical; Needs 60+ Days.,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
